doctor_id,specialization,experience_years,performance_rating
D0178,Emergency,40,4.31
D0179,Pediatrics,30,3.3
D0180,Oncology,23,1.62
D0181,Gastroenterology,9,4.89
D0182,Neurology,32,3.08
D0183,Pediatrics,35,1.98
D0184,Emergency,32,1.91
D0185,Oncology,16,1.52
D0186,Urology,32,3.24
D0187,Gastroenterology,25,3.48
D0188,Gastroenterology,30,3.32
D0189,Neurology,37,4.37
D0190,Gastroenterology,37,1.28
D0191,Pediatrics,35,1.11
D0192,Emergency,8,4.38
D0193,Gastroenterology,40,1.48
D0194,Gastroenterology,36,1.58
D0195,Urology,25,3.15
D0196,Urology,18,2.63
D0197,Cardiology,39,3.67
D0198,Oncology,10,1.76
D0199,Pediatrics,1,4.36
D0200,Gastroenterology,4,1.87
D0201,Orthopedics,26,2.73
D0202,Gastroenterology,11,1.09
D0203,Emergency,15,4.86
D0204,Cardiology,32,2.16
D0205,Oncology,15,3.13
D0206,Orthopedics,28,2.91
D0207,Cardiology,23,2.61
D0208,Neurology,3,1.72
D0209,Oncology,32,3.48
D0210,Gastroenterology,20,3.22
D0211,Gastroenterology,14,2.76
D0212,Oncology,35,3.2
D0213,Gastroenterology,40,3.6
D0214,Pediatrics,9,4.44
D0215,Oncology,24,1.92
D0216,Cardiology,4,4.08
D0217,Oncology,12,4.26
D0218,Orthopedics,24,3.98
D0219,Gastroenterology,1,4.27
D0220,Pediatrics,14,3.31
D0221,Pediatrics,31,1.09
D0222,Neurology,10,3.78
D0223,Cardiology,33,4.45
D0224,Urology,36,2.05
D0225,Urology,35,3.98
D0226,Oncology,18,1.45
D0227,Neurology,25,3.58
D0228,Emergency,12,1.23
D0229,Oncology,28,3.19
D0230,Neurology,9,4.51
D0231,Cardiology,24,2.52
D0232,Cardiology,20,1.75
D0233,Cardiology,26,3.71
D0234,Cardiology,5,4.38
D0235,Cardiology,27,2.21
D0236,Neurology,28,3.29
D0237,Neurology,37,3.64
D0238,Pediatrics,40,2.56
D0239,Orthopedics,7,1.27
D0240,Urology,19,4.32
D0241,Gastroenterology,22,4.35
D0242,Cardiology,18,1.41
D0243,Emergency,15,3.35
D0244,Gastroenterology,33,3.93
D0245,Neurology,39,1.37
D0246,Emergency,5,4.39
D0247,Emergency,40,2.42
D0248,Emergency,37,3.35
D0249,Pediatrics,5,2.51
D0250,Neurology,37,3.11
D0251,Emergency,7,3.63
D0252,Cardiology,2,3.83
D0253,Oncology,30,2.61
D0254,Emergency,11,1.45
D0255,Pediatrics,37,2.37
D0256,Gastroenterology,39,4.34
D0257,Neurology,33,3.36
D0258,Orthopedics,9,2.79
D0259,Pediatrics,11,3.68
D0260,Emergency,12,4.27
D0261,Neurology,10,4.53
D0262,Oncology,11,3.89
D0263,Emergency,33,1.36
D0264,Pediatrics,20,1.89
D0265,Urology,5,4.86
D0266,Cardiology,24,3.89
D0267,Orthopedics,32,4.57
D0268,Gastroenterology,31,3.12
D0269,Pediatrics,14,1.4
D0270,Neurology,19,1.57
D0271,Orthopedics,24,4.83
D0272,Orthopedics,32,2.37
D0273,Orthopedics,12,2.55
D0274,Emergency,21,4.9
D0275,Cardiology,36,2.91
D0276,Emergency,25,1.06
D0277,Neurology,14,3.18
D0278,Emergency,8,3.92
D0279,Urology,29,3.17
D0280,Cardiology,25,3.59
D0281,Cardiology,23,3.06
D0282,Neurology,36,1.9
D0283,Gastroenterology,12,1.35
D0284,Urology,12,1.06
D0285,Pediatrics,18,3.75
D0286,Emergency,36,2.55
D0287,Oncology,19,3.05
D0288,Emergency,35,1.47
D0289,Orthopedics,27,3.22
D0290,Emergency,3,1.99
D0291,Pediatrics,13,4.26
D0292,Emergency,38,3.39
D0293,Urology,19,1.25
D0294,Urology,35,1.86
D0295,Cardiology,15,1.94
D0296,Neurology,16,4.21
D0297,Gastroenterology,35,2.96
D0298,Oncology,5,3.57
D0299,Orthopedics,7,2.95
D0300,Emergency,21,2.62
D0301,Emergency,1,4.29
D0302,Pediatrics,25,4.29
D0303,Neurology,30,4.37
D0304,Urology,19,4.83
D0305,Oncology,24,2.32
D0306,Cardiology,15,3.83
D0307,Urology,35,2.35
D0308,Orthopedics,24,4.57
D0309,Neurology,36,3.12
D0310,Orthopedics,14,2.49
D0311,Gastroenterology,22,1.03
D0312,Cardiology,39,3.7
D0313,Gastroenterology,8,2.82
D0314,Pediatrics,16,1.38
D0315,Orthopedics,17,2.53
D0316,Pediatrics,5,3.05
D0317,Emergency,35,2.33
D0318,Gastroenterology,37,4.08
D0319,Neurology,18,3.94
D0320,Orthopedics,21,1.47
D0321,Oncology,1,3.05
D0322,Cardiology,17,2.84
D0323,Urology,8,4.01
D0324,Neurology,29,2.95
D0325,Neurology,20,2.27
D0326,Pediatrics,37,2.88
D0327,Gastroenterology,39,2.9
D0328,Orthopedics,5,1.73
D0329,Orthopedics,10,2.43
D0330,Emergency,6,2.66
D0331,Emergency,7,1.22
D0332,Cardiology,35,3.52
D0333,Pediatrics,27,1.84
D0334,Neurology,21,2.36
D0335,Orthopedics,24,1.72
D0336,Oncology,29,3.97
D0337,Pediatrics,27,3.21
D0338,Cardiology,38,1.79
D0339,Cardiology,2,1.79
D0340,Pediatrics,25,1.91
D0341,Cardiology,2,4.83
D0342,Pediatrics,38,2.9
D0343,Urology,18,4.72
D0344,Pediatrics,7,4.97
D0345,Gastroenterology,4,3.04
D0346,Pediatrics,40,1.34
D0347,Cardiology,10,4.24
D0348,Orthopedics,28,3.44
D0349,Gastroenterology,30,1.29
D0350,Cardiology,24,2.96
D0351,Emergency,36,3.65
D0352,Emergency,16,2.77
D0353,Orthopedics,33,3.31
D0354,Orthopedics,10,4.74
D0355,Gastroenterology,21,1.56
D0356,Urology,27,2.94
D0357,Orthopedics,21,1.03
D0358,Emergency,27,2.75
D0359,Pediatrics,32,1.83
D0360,Cardiology,5,1.91
D0361,Emergency,35,1.92
D0362,Emergency,22,4.04
D0363,Urology,36,3.03
D0364,Gastroenterology,10,2.52
D0365,Gastroenterology,34,1
D0366,Neurology,6,4.34
D0367,Urology,14,1
D0368,Pediatrics,37,4.23
D0369,Gastroenterology,19,3.91
D0370,Cardiology,32,1.48
D0371,Orthopedics,20,3.48
D0372,Urology,21,1.04
D0373,Orthopedics,15,1.89
D0374,Emergency,17,1.96
D0375,Cardiology,24,4.92
D0376,Cardiology,21,3.28
D0377,Emergency,15,1.04
D0378,Urology,11,1.52
D0379,Emergency,37,1.77
D0380,Orthopedics,30,4.29
D0381,Neurology,18,3.71
D0382,Cardiology,28,2.93
D0383,Oncology,13,4.24
D0384,Oncology,10,2.9
D0385,Orthopedics,39,4.26
D0386,Pediatrics,12,1.88
D0387,Gastroenterology,38,4.72
D0388,Emergency,40,4.83
D0389,Emergency,26,3.55
D0390,Pediatrics,19,3.54
D0391,Pediatrics,23,3.26
D0392,Orthopedics,36,2.73
D0393,Orthopedics,27,1.71
D0394,Pediatrics,16,1.77
D0395,Cardiology,7,3.61
D0396,Orthopedics,13,2.87
D0397,Neurology,12,1.9
D0398,Orthopedics,27,1.37
D0399,Emergency,33,4.84
D0400,Orthopedics,31,3.75
D0401,Cardiology,11,1.76
D0402,Pediatrics,17,4
D0403,Emergency,38,1.68
D0404,Orthopedics,2,3.36
D0405,Cardiology,3,3.27
D0406,Neurology,34,1.43
D0407,Orthopedics,32,3.66
D0408,Cardiology,24,3.23
D0409,Neurology,24,4.21
D0410,Pediatrics,13,4.63
D0411,Orthopedics,22,3.83
D0412,Neurology,19,2.21
D0413,Emergency,30,2.31
D0414,Pediatrics,39,2.25
D0415,Emergency,21,4.45
D0416,Oncology,23,2.93
D0417,Urology,16,4.83
D0418,Orthopedics,7,3.62
D0419,Neurology,20,3.41
D0420,Urology,14,4.6
D0421,Urology,26,3.36
D0422,Neurology,22,4.29
D0423,Pediatrics,36,3
D0424,Orthopedics,26,3.39
D0425,Oncology,12,2.04
D0426,Emergency,31,4.51
D0427,Cardiology,40,2.11
D0428,Emergency,4,4.85
D0429,Cardiology,40,2.54
D0430,Emergency,27,2.74
D0431,Neurology,9,2.97
D0432,Oncology,12,2.53
D0433,Orthopedics,29,3.3
D0434,Cardiology,28,3.6
D0435,Orthopedics,16,1.69
D0436,Orthopedics,8,4.32
D0437,Orthopedics,13,3.64
D0438,Gastroenterology,14,3.98
D0439,Pediatrics,15,4.76
D0440,Emergency,9,4.24
D0441,Orthopedics,32,3.47
D0442,Emergency,22,2.21
D0443,Orthopedics,25,3.39
D0444,Cardiology,26,1.24
D0445,Pediatrics,29,3.48
D0446,Pediatrics,18,2.73
D0447,Neurology,36,3.78
D0448,Gastroenterology,20,2.13
D0449,Neurology,33,3.48
D0450,Neurology,20,4.19
D0451,Neurology,3,1.41
D0452,Neurology,34,3.71
D0453,Neurology,6,4.88
D0454,Oncology,31,4.5
D0455,Pediatrics,35,1.58
D0456,Neurology,32,2.79
D0457,Orthopedics,9,1.96
D0458,Pediatrics,27,1.29
D0459,Pediatrics,24,4.16
D0460,Urology,22,4.32
D0461,Oncology,30,3.62
D0462,Neurology,36,1.36
D0463,Emergency,26,1.31
D0464,Cardiology,2,3.23
D0465,Gastroenterology,7,4.61
D0466,Orthopedics,27,1.7
D0467,Emergency,16,3.53
D0468,Oncology,29,3
D0469,Cardiology,21,2.03
D0470,Oncology,26,2.68
D0471,Orthopedics,18,2.81
D0472,Pediatrics,1,1.6
D0473,Cardiology,2,1.7
D0474,Pediatrics,14,3.68
D0475,Orthopedics,38,1.51
D0476,Emergency,15,4.12
D0477,Orthopedics,36,4.39
D0478,Emergency,24,1.46
D0479,Cardiology,25,4.78
D0480,Cardiology,9,4.91
D0481,Neurology,15,1.22
D0482,Oncology,37,1.01
D0483,Neurology,6,4.79
D0484,Oncology,12,1.36
D0485,Neurology,27,2.08
D0486,Pediatrics,7,2.9
D0487,Cardiology,28,1.63
D0488,Emergency,12,2.66
D0489,Oncology,35,4.71
D0490,Orthopedics,2,4.55
D0491,Oncology,26,1.62
D0492,Emergency,20,4.78
D0493,Neurology,25,3.84
D0494,Oncology,21,4.88
D0495,Gastroenterology,1,1.71
D0496,Pediatrics,28,1.26
D0497,Cardiology,38,2.66
D0498,Emergency,13,4.96
D0499,Cardiology,30,2.82
D0500,Gastroenterology,10,3.58
D0501,Oncology,22,3.15
D0502,Oncology,29,4.58
D0503,Orthopedics,5,4.48
D0504,Gastroenterology,8,4.85
D0505,Emergency,11,3.44
D0506,Orthopedics,26,3.25
D0507,Pediatrics,19,1.25
D0508,Orthopedics,19,2.23
D0509,Urology,30,2.44
D0510,Emergency,36,3.02
D0511,Urology,9,1.49
D0512,Gastroenterology,7,3.14
D0513,Neurology,18,2.05
D0514,Urology,9,4.88
D0515,Pediatrics,6,1.83
D0516,Orthopedics,6,1.7
D0517,Neurology,22,3.06
D0518,Orthopedics,17,4.7
D0519,Urology,15,1.44
D0520,Orthopedics,9,4.67
D0521,Gastroenterology,6,1.43
D0522,Neurology,23,1.69
D0523,Gastroenterology,17,1.63
D0524,Urology,32,1.92
D0525,Gastroenterology,32,4
D0526,Pediatrics,37,2.7
D0527,Urology,3,4.25
D0528,Urology,16,2.31
D0529,Urology,2,2.88
D0530,Emergency,3,2.98
D0531,Orthopedics,14,2.86
D0532,Emergency,14,2.59
D0533,Emergency,30,2.4
D0534,Pediatrics,40,4.39
D0535,Neurology,27,2.63
D0536,Orthopedics,17,1.53
D0537,Gastroenterology,39,1.78
D0538,Oncology,9,3.8
D0539,Urology,36,4.97
D0540,Gastroenterology,10,3.72
D0541,Urology,29,1.34
D0542,Pediatrics,4,3.09
D0543,Urology,21,3.44
D0544,Emergency,37,3.29
D0545,Orthopedics,2,1.65
D0546,Oncology,15,3.66
D0547,Cardiology,28,1.07
D0548,Urology,25,4.03
D0549,Gastroenterology,26,2.06
D0550,Emergency,9,4.85
D0551,Cardiology,30,2.51
D0552,Oncology,9,1.28
D0553,Cardiology,1,4.96
D0554,Emergency,12,3.54
D0555,Orthopedics,13,3.26
D0556,Orthopedics,14,2.42
D0557,Neurology,10,2.81
D0558,Orthopedics,17,2.78
D0559,Neurology,17,2.08
D0560,Cardiology,31,2.38
D0561,Pediatrics,26,4.75
D0562,Gastroenterology,35,1.68
D0563,Gastroenterology,36,2.97
D0564,Cardiology,11,4.62
D0565,Urology,16,4.07
D0566,Urology,29,4.99
D0567,Orthopedics,18,4.13
D0568,Gastroenterology,11,1.13
D0569,Gastroenterology,11,1.83
D0570,Neurology,9,4.72
D0571,Pediatrics,25,4.8
D0572,Emergency,32,3.2
D0573,Urology,34,2.8
D0574,Gastroenterology,3,3.5
D0575,Neurology,14,4.6
D0576,Oncology,40,2.87
D0577,Neurology,25,3.56
D0578,Urology,16,1.92
D0579,Urology,36,3.2
D0580,Neurology,9,1.54
D0581,Emergency,4,1.07
D0582,Cardiology,2,3.3
D0583,Urology,25,3.79
D0584,Neurology,22,1.93
D0585,Gastroenterology,5,1.8
D0586,Neurology,21,3.74
D0587,Pediatrics,10,3.46
D0588,Cardiology,23,4.29
D0589,Oncology,27,2.08
D0590,Emergency,30,3.81
D0591,Orthopedics,4,1.76
D0592,Oncology,6,1.99
D0593,Cardiology,26,3.02
D0594,Cardiology,10,4.33
D0595,Cardiology,5,2.17
D0596,Oncology,39,1.78
D0597,Gastroenterology,37,3.48
D0598,Cardiology,40,2.37
D0599,Neurology,1,2.61
D0600,Oncology,34,3.36
D0601,Orthopedics,8,1.36
D0602,Cardiology,21,2.24
D0603,Neurology,31,3.33
D0604,Gastroenterology,23,1.55
D0605,Pediatrics,11,3.18
D0606,Gastroenterology,16,3.87
D0607,Orthopedics,27,3
D0608,Cardiology,7,3.02
D0609,Orthopedics,24,1.62
D0610,Oncology,32,1.12
D0611,Urology,35,1.29
D0612,Cardiology,31,3.04
D0613,Urology,29,2.8
D0614,Neurology,4,4.25
D0615,Pediatrics,35,2.51
D0616,Emergency,11,4.73
D0617,Orthopedics,34,2.35
D0618,Gastroenterology,39,3.22
D0619,Pediatrics,15,3.69
D0620,Cardiology,14,4.07
D0621,Urology,21,3.61
D0622,Gastroenterology,7,1.5
D0623,Urology,17,3.75
D0624,Oncology,18,1
D0625,Urology,14,2.34
D0626,Oncology,38,2.91
D0627,Neurology,29,2.65
D0628,Gastroenterology,10,2.05
D0629,Gastroenterology,17,4.44
D0630,Emergency,32,4.97
D0631,Cardiology,20,3.64
D0632,Oncology,17,1.5
D0633,Emergency,7,1.75
D0634,Urology,39,1.01
D0635,Urology,30,2.47
D0636,Emergency,38,4.28
D0637,Gastroenterology,40,1.94
D0638,Urology,10,2.62
D0639,Orthopedics,32,4.8
D0640,Neurology,26,3.12
D0641,Neurology,17,4.76
D0642,Orthopedics,1,1.2
D0643,Emergency,39,3.7
D0644,Orthopedics,26,1.52
D0645,Oncology,30,1.12
D0646,Oncology,9,2.06
D0647,Emergency,33,1.08
D0648,Orthopedics,26,1.64
D0649,Oncology,10,1.8
D0650,Gastroenterology,32,4.99
D0651,Orthopedics,39,1.24
D0652,Gastroenterology,33,4.8
D0653,Oncology,27,2.53
D0654,Neurology,29,3.17
D0655,Oncology,19,1.13
D0656,Gastroenterology,18,1.02
D0657,Pediatrics,35,1.98
D0658,Cardiology,28,3.75
D0659,Urology,38,3.78
D0660,Orthopedics,10,3.34
D0661,Pediatrics,3,2.85
D0662,Oncology,29,1.96
D0663,Neurology,16,4.35
D0664,Emergency,36,3.29
D0665,Oncology,1,2.37
D0666,Neurology,18,1.59
D0667,Cardiology,4,3.64
D0668,Oncology,5,1.78
D0669,Gastroenterology,21,3.09
D0670,Emergency,4,2.74
D0671,Neurology,20,1.8
D0672,Neurology,19,4.12
D0673,Neurology,35,2.83
D0674,Cardiology,24,1.1
D0675,Oncology,20,3.01
D0676,Cardiology,28,1.83
D0677,Orthopedics,38,4.97
D0678,Urology,24,3.59
D0679,Urology,20,1.39
D0680,Orthopedics,24,3.02
D0681,Oncology,6,2.58
D0682,Gastroenterology,38,3.37
D0683,Cardiology,25,3.64
D0684,Emergency,32,2.82
D0685,Neurology,17,3.56
D0686,Neurology,17,2.15
D0687,Oncology,5,1.15
D0688,Gastroenterology,17,1.22
D0689,Urology,9,4.41
D0690,Urology,20,2.36
D0691,Neurology,2,4.77
D0692,Oncology,19,2.89
D0693,Cardiology,9,4.37
D0694,Urology,40,1.55
D0695,Cardiology,19,4.43
D0696,Gastroenterology,4,4.75
D0697,Urology,6,4.82
D0698,Urology,36,2.2
D0699,Pediatrics,11,3.88
D0700,Urology,21,1.25
D0701,Orthopedics,25,2.16
D0702,Emergency,30,2.32
D0703,Orthopedics,18,3.84
D0704,Oncology,25,2.29
D0705,Oncology,21,1.27
D0706,Cardiology,23,2.87
D0707,Orthopedics,30,2.2
D0708,Orthopedics,18,4.09
D0709,Orthopedics,33,3.06
D0710,Gastroenterology,35,2.23
D0711,Urology,22,1.22
D0712,Emergency,24,1.87
D0713,Cardiology,23,1.68
D0714,Orthopedics,1,2.39
D0715,Orthopedics,15,1.15
D0716,Pediatrics,28,1.17
D0717,Cardiology,20,4.66
D0718,Orthopedics,36,4.57
D0719,Cardiology,16,3.84
D0720,Urology,5,3.88
D0721,Pediatrics,15,1.31
D0722,Cardiology,2,1.59
D0723,Emergency,24,2.12
D0724,Emergency,13,3
D0725,Oncology,23,4.39
D0726,Pediatrics,12,4.94
D0727,Pediatrics,33,4.12
D0728,Oncology,25,1.61
D0729,Cardiology,35,4.59
D0730,Pediatrics,35,3.77
D0731,Emergency,1,1.36
D0732,Emergency,4,2.36
D0733,Orthopedics,31,4.21
D0734,Urology,28,4.49
D0735,Pediatrics,11,3.99
D0736,Cardiology,32,2.93
D0737,Oncology,2,4.98
D0738,Oncology,13,1.01
D0739,Cardiology,17,1.42
D0740,Gastroenterology,4,2.84
D0741,Neurology,31,3.84
D0742,Urology,38,1.11
D0743,Oncology,3,2.71
D0744,Pediatrics,12,2
D0745,Urology,18,3.24
D0746,Pediatrics,30,2.26
D0747,Gastroenterology,11,3.61
D0748,Emergency,24,1.59
D0749,Urology,21,4.04
D0750,Orthopedics,35,3.18
D0751,Oncology,4,4.01
D0752,Urology,26,2.95
D0753,Urology,8,2.52
D0754,Urology,24,1.95
D0755,Neurology,12,4.54
D0756,Urology,5,2.75
D0757,Pediatrics,16,2.9
D0758,Emergency,32,3.11
D0759,Gastroenterology,29,3.08
D0760,Cardiology,33,3.35
D0761,Urology,14,1.54
D0762,Oncology,25,4.33
D0763,Urology,8,2.38
D0764,Oncology,27,1.61
D0765,Pediatrics,35,1.69
D0766,Oncology,22,2.45
D0767,Orthopedics,7,2.03
D0768,Cardiology,36,4.34
D0769,Emergency,12,4.52
D0770,Oncology,9,3.85
D0771,Oncology,35,4.25
D0772,Emergency,39,1.05
D0773,Cardiology,19,1.34
D0774,Urology,28,4.24
D0775,Oncology,29,2.88
D0776,Emergency,8,4.76
D0777,Orthopedics,27,4.4
D0778,Orthopedics,5,2.35
D0779,Pediatrics,29,2.28
D0780,Emergency,35,4.53
D0781,Pediatrics,33,2.74
D0782,Orthopedics,32,2.8
D0783,Cardiology,21,3.14
D0784,Urology,10,4.07
D0785,Emergency,16,2.45
D0786,Gastroenterology,11,2.67
D0787,Orthopedics,19,2.8
D0788,Orthopedics,13,4.35
D0789,Gastroenterology,15,2.67
D0790,Neurology,36,4.33
D0791,Orthopedics,32,3.22
D0792,Oncology,19,3.4
D0793,Cardiology,15,3.55
D0794,Emergency,38,2.53
D0795,Gastroenterology,22,3.43
D0796,Oncology,13,1.71
D0797,Gastroenterology,20,2.27
D0798,Emergency,15,4.41
D0799,Pediatrics,7,2.46
D0800,Emergency,22,2.56
D0801,Neurology,20,4.6
D0802,Emergency,19,2.36
D0803,Emergency,27,3.59
D0804,Neurology,8,4.78
D0805,Cardiology,18,4.99
D0806,Orthopedics,10,3.15
D0807,Emergency,35,3.44
D0808,Neurology,15,2.74
D0809,Oncology,23,4
D0810,Pediatrics,12,3.88
D0811,Pediatrics,27,2.52
D0812,Emergency,6,1.22
D0813,Cardiology,24,3.5
D0814,Cardiology,22,1.14
D0815,Oncology,9,3.55
D0816,Emergency,10,4.26
D0817,Pediatrics,3,3.31
D0818,Cardiology,6,2.33
D0819,Emergency,26,3.01
D0820,Gastroenterology,14,2.44
D0821,Cardiology,36,1.44
D0822,Neurology,19,2.27
D0823,Gastroenterology,39,2.95
D0824,Orthopedics,23,2.37
D0825,Cardiology,5,1.09
D0826,Pediatrics,15,1.37
D0827,Urology,30,1.49
D0828,Gastroenterology,33,2.66
D0829,Orthopedics,38,1.14
D0830,Oncology,19,2.91
D0831,Oncology,5,1.25
D0832,Pediatrics,9,4.65
D0833,Cardiology,7,4.97
D0834,Emergency,24,2.52
D0835,Cardiology,16,4.13
D0836,Pediatrics,37,4.58
D0837,Oncology,10,4.38
D0838,Cardiology,21,3.23
D0839,Oncology,21,2.81
D0840,Gastroenterology,15,2.3
D0841,Orthopedics,13,1.35
D0842,Emergency,7,4.88
D0843,Gastroenterology,40,1.24
D0844,Oncology,8,1.75
D0845,Oncology,38,3.03
D0846,Urology,2,1.33
D0847,Urology,37,3.82
D0848,Gastroenterology,22,1.05
D0849,Neurology,4,4.4
D0850,Gastroenterology,7,4.68
D0851,Urology,1,3.71
D0852,Oncology,19,3.54
D0853,Pediatrics,30,3.37
D0854,Gastroenterology,2,1.29
D0855,Oncology,13,2.36
D0856,Pediatrics,28,3.53
D0857,Pediatrics,14,1.84
D0858,Urology,3,1.02
D0859,Gastroenterology,16,3.12
D0860,Cardiology,25,2.42
D0861,Emergency,3,1.93
D0862,Urology,34,4.23
D0863,Urology,3,3.81
D0864,Cardiology,29,3.59
D0865,Emergency,40,4.88
D0866,Oncology,19,3.62
D0867,Neurology,20,3.92
D0868,Gastroenterology,21,2.03
D0869,Neurology,20,4.05
D0870,Oncology,28,3.19
D0871,Orthopedics,27,3.26
D0872,Urology,25,1.56
D0873,Emergency,2,3.94
D0874,Urology,24,3.67
D0875,Pediatrics,33,1.6
D0876,Urology,19,1.72
D0877,Urology,26,4.45
D0878,Oncology,3,3.47
D0879,Oncology,27,1.61
